ID,Date_EC,Age,Gestante,Lactation,Res1GP-ZEBVkiss
CCCA03761,5/3/2019,Adulte immature,0,0,0
CCCA03771,5/3/2019,Adulte immature,0,0,0
CCCA03872,5/7/2019,Adulte immature,0,0,0
CCCA03910,5/11/2019,Adulte immature,,,0
CCCA04034,6/20/2019,Adulte immature,,,0
CCCA04039,7/13/2019,Adulte immature,,,0
CCCA04141,7/18/2019,Adulte immature,,,0
CCCA04180,9/14/2019,Adulte immature,0,1,0
CCCA04186,9/14/2019,Adulte immature,,,0
CCCA04225,9/20/2019,Adulte immature,0,0,1
CCCA04227,9/20/2019,Adulte immature,,,0
CCCA04242,9/21/2019,Adulte immature,0,0,0
CCCA04262,9/21/2019,Adulte immature,,,1
CCCA04296,10/9/2019,Adulte immature,,,0
CCCA04310,10/10/2019,Adulte immature,,,0
CCCA04337,10/11/2019,Adulte immature,,,0
CCCA04390,11/4/2019,Adulte immature,,,0
CCCA04420,11/5/2019,Adulte immature,0,0,0
CCCA04421,11/5/2019,Adulte immature,0,0,0
CCCA04474,11/26/2019,Adulte immature,,,0
CCCA04480,11/27/2019,Adulte immature,0,0,0
CCCA04481,11/27/2019,Adulte immature,0,0,0
CCCA04476,11/27/2019,Adulte immature,,,0
CCCA04479,11/27/2019,Adulte immature,,,0
CCCA04482,11/27/2019,Adulte immature,,,1
CCCA04484,11/27/2019,Adulte immature,,,0
CCCA03349,12/5/2018,Juv̩nile,0,0,0
CCCA03352,12/5/2018,Juv̩nile,0,0,1
CCCA03353,12/5/2018,Juv̩nile,0,0,0
CCCA03369,12/6/2018,Juv̩nile,,,0
CCCA03674,3/1/2019,Juv̩nile,0,0,0
CCCA03624,3/28/2019,Juv̩nile,0,0,0
CCCA03629,3/28/2019,Juv̩nile,0,0,0
CCCA03638,3/28/2019,Juv̩nile,0,0,0
CCCA03647,3/28/2019,Juv̩nile,0,0,0
CCCA03654,3/28/2019,Juv̩nile,0,0,0
CCCA03626,3/28/2019,Juv̩nile,,,0
CCCA03658,3/29/2019,Juv̩nile,0,0,0
CCCA03659,3/29/2019,Juv̩nile,0,0,0
CCCA03671,3/29/2019,Juv̩nile,,,0
CCCA03694,4/1/2019,Juv̩nile,0,0,0
CCCA03681,4/1/2019,Juv̩nile,,,0
CCCA03697,4/2/2019,Juv̩nile,0,0,0
CCCA03717,4/2/2019,Juv̩nile,0,0,0
CCCA03711,4/2/2019,Juv̩nile,,,0
CCCA03712,4/2/2019,Juv̩nile,,,0
CCCA03792,5/3/2019,Juv̩nile,0,0,0
CCCA03793,5/3/2019,Juv̩nile,,,0
CCCA03794,5/3/2019,Juv̩nile,,,0
CCCA03795,5/3/2019,Juv̩nile,,,0
CCCA03796,5/4/2019,Juv̩nile,,,0
CCCA03797,5/4/2019,Juv̩nile,,,0
CCCA03844,5/6/2019,Juv̩nile,0,0,0
CCCA03845,5/6/2019,Juv̩nile,0,0,0
CCCA03834,5/6/2019,Juv̩nile,,,0
CCCA03877,5/9/2019,Juv̩nile,,,0
CCCA03923,5/11/2019,Juv̩nile,0,0,0
CCCA03927,5/11/2019,Juv̩nile,,,0
CCCA03933,6/12/2019,Juv̩nile,0,0,0
CCCA03964,6/12/2019,Juv̩nile,,,0
CCCA03985,6/17/2019,Juv̩nile,,,1
CCCA03992,6/17/2019,Juv̩nile,,,0
CCCA03993,6/17/2019,Juv̩nile,,,0
CCCA03995,6/18/2019,Juv̩nile,,,0
CCCA03999,6/18/2019,Juv̩nile,,,0
CCCA04135,7/18/2019,Juv̩nile,0,0,0
CCCA04184,9/14/2019,Juv̩nile,,,1
CCCA04199,9/16/2019,Juv̩nile,,,0
CCCA04216,9/17/2019,Juv̩nile,,,0
CCCA04217,9/17/2019,Juv̩nile,,,0
CCCA04221,9/17/2019,Juv̩nile,,,0
CCCA04222,9/17/2019,Juv̩nile,,,0
CCCA04228,9/20/2019,Juv̩nile,,,0
CCCA04233,9/20/2019,Juv̩nile,,,0
CCCA04301,10/9/2019,Juv̩nile,0,0,0
CCCA04302,10/9/2019,Juv̩nile,0,0,0
CCCA04304,10/9/2019,Juv̩nile,0,0,0
CCCA04292,10/9/2019,Juv̩nile,,,0
CCCA04312,10/10/2019,Juv̩nile,,,1
CCCA04324,10/11/2019,Juv̩nile,0,0,0
CCCA04341,10/14/2019,Juv̩nile,,,0
CCCA04344,10/14/2019,Juv̩nile,,,0
CCCA04422,11/5/2019,Juv̩nile,0,0,0
CCCA04440,11/22/2019,Juv̩nile,0,0,0
CCCA04467,11/25/2019,Juv̩nile,0,0,0
CCCA04471,11/26/2019,Juv̩nile,0,0,0
CCCA04472,11/26/2019,Juv̩nile,,,0
